title;n_enrolled;institution;level;subject;language;course_length;price;currency;course_url;;;;;
data science for construction; architecture and engineering;11113.0;the national university of singapore;introductory;data analysis & statistics;en;7 weeks;199.0;usd;https://www.edx.org/course/data-science-for-construction-architecture-and-engineering;;;;
nutrition; heart disease and diabetes;24986.0;wageningen university & research;intermediate;food & nutrition;en;5 weeks;99.0;usd;https://www.edx.org/course/nutrition-heart-disease-and-diabetes;;;;
project management for development;62099.0;inter-american development bank;intermediate;business & management;en;10 weeks;49.0;usd;https://www.edx.org/course/project-management-for-development;;;;;
introduction to cloud infrastructure technologies;86923.0;the linux foundation;introductory;computer science;en;14 weeks;169.0;usd;https://www.edx.org/course/introduction-to-cloud-infrastructure-technologies;;;;;
circular fashion: design; science and value in a sustainable clothing industry;13566.0;wageningen university & research;introductory;art & culture;en;5 weeks;65.0;usd;https://www.edx.org/course/circular-fashion-in-a-sustainable-clothingindustry;;;;
machine learning;150855.0;columbia university;advanced;computer science;en;12 weeks;249.0;usd;https://www.edx.org/course/machine-learning;;;;;
introducciï¿½ï¿½n a la gestiï¿½ï¿½n de p;98517.0;universitat politï¿½ï¿½cnica de vale;introductory;business & management;es;5 weeks;50.0;usd;https://www.edx.org/course/introduccion-a-la-gestion-de-proyectos;;;;;
free cash flow analysis;36085.0;columbia university;introductory;business & management;en;5 weeks;225.0;usd;https://www.edx.org/course/free-cash-flow-analysis;;;;;
lean production;55926.0;technische universitï¿½ï¿½t mï¿½;introductory;business & management;en;6 weeks;99.0;usd;https://www.edx.org/course/lean-production;;;;;
introduction to algebra;131197.0;schoolyourself;introductory;math;en;4 weeks;139.0;usd;https://www.edx.org/course/introduction-to-algebra;;;;;
latex for students; engineers; and scientists;11823.0;iitbombay;introductory;engineering;en;7 weeks;139.0;usd;https://www.edx.org/course/latex-for-students-engineers-and-scientists-2;;;
leading with effective communication (inclusive leadership training);107770.0;catalyst;introductory;communication;en;4 weeks;50.0;usd;https://www.edx.org/course/leading-with-effective-communication-inclusive-lea;;;;;
anatomy: musculoskeletal and integumentary systems;51969.0;the university of michigan;introductory;biology & life sciences;en;4 weeks;49.0;usd;https://www.edx.org/course/anatomy-musculoskeletal-and-integumentary-systems;;;;;
inglï¿½ï¿½s empresarial: ve; gestiï¿½ï¿½n y lider;10897.0;universidades anï¿½ï¿½;introductory;business & management;en;4 weeks;49.0;usd;https://www.edx.org/course/ingles-empresarial-para-venta-gestion-y-liderazgo-de-equipos;;;;
business strategy from wharton: competitive advantage;26675.0;the wharton school of the university of pennsylvania;intermediate;business & management;en;6 weeks;199.0;usd;https://www.edx.org/course/business-strategy-from-wharton-competitive-advan-2;;;;;
inteligencia emocional para el liderazgo efectivo y colaboraciï¿½;14726.0;universidades anï¿½ï¿½;introductory;social sciences;es;4 weeks;49.0;usd;https://www.edx.org/course/inteligencia-emocional-para-el-liderazgo-efectiv-2;;;;;
introducciï¿½ï¿½n al desarrollo de aplicaciones;27757.0;universidad autï¿½ï¿½noma de ma;introductory;computer science;es;5 weeks;49.0;usd;https://www.edx.org/course/introduccion-al-desarrollo-de-aplicaciones-web-2;;;;;
six sigma: analyze; improve; control;56016.0;technische universitï¿½ï¿½t mï¿½;introductory;business & management;en;8 weeks;99.0;usd;https://www.edx.org/course/six-sigma-analyze-improve-control;;;
introducciï¿½ï¿½n a la inteligencia emoci;18830.0;universidades anï¿½ï¿½;introductory;social sciences;es;4 weeks;49.0;usd;https://www.edx.org/course/introduccion-a-la-inteligencia-emocional-2;;;;;
apï¿½ï¿½ microecono;53664.0;massachusetts institute of technology;introductory;economics & finance;en;12 weeks;49.0;usd;https://www.edx.org/course/ap-microeconomics;;;;;
engineering calculus and differential equations;21535.0;university of hong kong;introductory;math;en;6 weeks;50.0;usd;https://www.edx.org/course/engineering-calculus-and-differential-equations;;;;;
linear algebra - foundations to frontiers;88570.0;the university of texas at austin;intermediate;computer science;en;15 weeks;49.0;usd;https://www.edx.org/course/linear-algebra-foundations-to-frontiers;;;;;
habilidades de negociaciï¿½ï¿½n y comunicaciï¿½ï¿½n ;19614.0;tecnolï¿½ï¿½gico de monte;introductory;business & management;es;4 weeks;149.0;usd;https://www.edx.org/course/habilidades-de-negociacion-y-comunicacion-efectiva;;;;;
effective communication for today's leader;8862.0;tecnolï¿½ï¿½gico de monte;intermediate;business & management;en;4 weeks;149.0;usd;https://www.edx.org/course/effective-communication-for-todays-leader;;;;;
electric cars: technology;40972.0;delft university of technology;intermediate;engineering;en;4 weeks;50.0;usd;https://www.edx.org/course/electric-cars-technology;;;;;
site planning online;12948.0;massachusetts institute of technology;intermediate;design;en;10 weeks;99.0;usd;https://www.edx.org/course/site-planning-online;;;;;
macroeconometric forecasting;69358.0;the international monetary fund;intermediate;economics & finance;en;9 weeks;25.0;usd;https://www.edx.org/course/macroeconometric-forecasting-2;;;;;
administraciï¿½ï¿½n pï¿½ï¿½blica y fiscal: cï¿½ï¿½mo se gestiona;49189.0;inter-american development bank;introductory;economics & finance;es;10 weeks;25.0;usd;https://www.edx.org/course/administracion-publica-y-fiscal-como-se-gestiona-u;;;;;
fundamentals of red hat enterprise linux;53788.0;red hat;introductory;computer science;en;9 weeks;99.0;usd;https://www.edx.org/course/fundamentals-of-red-hat-enterprise-linux;;;;;
algorithms;61722.0;iitbombay;intermediate;computer science;en;6 weeks;149.0;usd;https://www.edx.org/course/algorithms-2;;;;;
calculus applied!;54976.0;harvard university;intermediate;math;en;10 weeks;99.0;usd;https://www.edx.org/course/calculus-applied;;;;;
precalculus;55576.0;arizona state university;intermediate;math;en;15 weeks;49.0;usd;https://www.edx.org/course/precalculus;;;;;
fundamentos de anatomï¿½ï¿½a y tï¿½ï¿½cnica quirï¿½ï¿½r;12133.0;universidad del rosario;introductory;medicine;es;4 weeks;49.0;usd;https://www.edx.org/course/fundamentos-de-anatomia-y-tecnica-quirurgica-basic;;;;;
business communications;60713.0;university of british columbia;introductory;business & management;en;6 weeks;150.0;usd;https://www.edx.org/course/business-communications;;;;;
italian language and culture: intermediate (2019-2020);35058.0;wellesley college;intermediate;language;it;12 weeks;49.0;usd;https://www.edx.org/course/italian-language-and-culture-intermediate-2019-202;;;;;
international women's health and human rights;9796.0;stanford university;introductory;social sciences;en;10 weeks;50.0;usd;https://www.edx.org/course/international-womens-health-and-human-rights;;;;;
blockchain: understanding its uses and implications;66769.0;the linux foundation;introductory;business & management;en;14 weeks;199.0;usd;https://www.edx.org/course/blockchain-understanding-its-uses-and-implications;;;;;
a-level mathematics for year 12 - course 1: algebraic methods; graphs and applied mathematics methods;22366.0;imperial college london;intermediate;math;en;7 weeks;49.0;usd;https://www.edx.org/course/a-level-mathematics-for-year-12-course-1-algebraic;;;;
blockchain technology;55376.0;university of california, berkeley;intermediate;computer science;en;6 weeks;99.0;usd;https://www.edx.org/course/blockchain-technology;;;;;
basics of power bi;8314.0;rolls-royce;introductory;data analysis & statistics;en;2 weeks;49.0;usd;https://www.edx.org/course/basics-of-power-bi;;;;;
preparing to network in english;34337.0;university of washington;introductory;language;en;6 weeks;149.0;usd;https://www.edx.org/course/preparing-to-network-in-english;;;;;
mandarin chinese essentials;36665.0;mandarinx;introductory;language;en;5 weeks;99.0;usd;https://www.edx.org/course/mandarin-chinese-essentials;;;;;
human rights: the rights of refugees;84270.0;amnesty international;introductory;humanities;en;3 weeks;49.0;usd;https://www.edx.org/course/human-rights-the-rights-of-refugees;;;;;
what do architects and urban planners do?;11046.0;wits university;introductory;architecture;en;3 weeks;49.0;usd;https://www.edx.org/course/what-do-architects-and-urban-planners-do;;;;;
u.s. political institutions: congress; presidency; courts; and bureaucracy;22723.0;harvard university;introductory;social sciences;en;4 weeks;49.0;usd;https://www.edx.org/course/us-political-institutions-congress-presidency-cour;;
negotiation skills and effective communication;8146.0;tecnolï¿½ï¿½gico de monte;intermediate;business & management;en;4 weeks;149.0;usd;https://www.edx.org/course/negotiation-skills-and-effective-communication;;;;;
apï¿½ï¿½ english literature & composition ï¿½ï¿½ï¿½ part ;15650.0;university of california, berkeley;introductory;humanities;en;7 weeks;49.0;usd;https://www.edx.org/course/ap-english-literature-composition-part-1-stories-2;;;;;
viruses & how to beat them: cells; immunity; vaccines;28710.0;israelx-tel aviv university;introductory;medicine;en;7 weeks;149.0;usd;https://www.edx.org/course/viruses-how-to-beat-them-cells-immunity-vaccines;;;
alianzas: un vehï¿½ï¿½culo para lograr el desarrollo sosten;17554.0;inter-american development bank;introductory;social sciences;es;10 weeks;25.0;usd;https://www.edx.org/course/alianzas-un-vehiculo-para-lograr-el-desarrollo-sos;;;;;
designing and creating skirts;13954.0;the hong kong polytechnic university;introductory;design;en;5 weeks;99.0;usd;https://www.edx.org/course/designing-and-creating-skirts;;;;;
cï¿½ï¿½mo aprender on;7958.0;edx;introductory;education & teacher training;es;2 weeks;49.0;usd;https://www.edx.org/course/como-aprender-online;;;;;
computing in python ii: control structures;31511.0;the georgia institute of technology;introductory;computer science;en;5 weeks;99.0;usd;https://www.edx.org/course/computing-in-python-ii-control-structures;;;;;
facebook ads: cï¿½ï¿½mo utilizar el poder de la publicidad en face;29614.0;universidad galileo;introductory;communication;es;5 weeks;49.0;usd;https://www.edx.org/course/facebook-ads-como-utilizar-el-poder-de-la-publicid;;;;;
machine learning fundamentals;82008.0;the university of california, san diego;advanced;data analysis & statistics;en;10 weeks;350.0;usd;https://www.edx.org/course/machine-learning-fundamentals-2;;;;;
pre-university calculus;103224.0;delft university of technology;introductory;math;en;8 weeks;50.0;usd;https://www.edx.org/course/pre-university-calculus-2;;;;;
tsinghua chinese: start talking with 1.3 billion people;58834.0;tsinghua university;introductory;language;en;6 weeks;49.0;usd;https://www.edx.org/course/tsinghua-chinese-start-talking-with-13-billion-peo;;;;;
deep learning with python and pytorch;36195.0;ibm;intermediate;data analysis & statistics;en;6 weeks;99.0;usd;https://www.edx.org/course/deep-learning-with-python-and-pytorch;;;;;
diseï¿½ï¿½a presentaciones eficaces con powerp;36663.0;universitat politï¿½ï¿½cnica de vale;introductory;computer science;es;3 weeks;50.0;usd;https://www.edx.org/course/disena-presentaciones-eficaces-con-powerpoint;;;;;
world of wine: from grape to glass;81839.0;university of adelaide;introductory;science;en;6 weeks;199.0;usd;https://www.edx.org/course/world-of-wine-from-grape-to-glass;;;;;
sustainable cities;16619.0;sdg academy;intermediate;environmental studies;en;9 weeks;49.0;usd;https://www.edx.org/course/sustainable-cities-2;;;;;
introduction to developmental psychology;38060.0;the university of queensland;introductory;humanities;en;8 weeks;99.0;usd;https://www.edx.org/course/introduction-to-developmental-psychology;;;;;
creativity & entrepreneurship;69413.0;berklee college of music;introductory;business & management;en;4 weeks;49.0;usd;https://www.edx.org/course/creativity-entrepreneurship;;;;;
college algebra and problem solving;103010.0;arizona state university;introductory;math;en;15 weeks;49.0;usd;https://www.edx.org/course/college-algebra-and-problem-solving;;;;;
academic writing for clarity and meaning;16220.0;wits university;introductory;education & teacher training;en;2 weeks;49.0;usd;https://www.edx.org/course/academic-writing-for-clarity-and-meaning-2;;;;;
financial development and financial inclusion;13853.0;the international monetary fund;intermediate;economics & finance;en;7 weeks;25.0;usd;https://www.edx.org/course/financial-development-and-financial-inclusion;;;;;
global public health;17273.0;sdg academy;intermediate;health & safety;en;10 weeks;49.0;usd;https://www.edx.org/course/global-public-health;;;;;
embedded systems - shape the world: microcontroller input/output;69182.0;the university of texas at austin;intermediate;computer science;en;8 weeks;49.0;usd;https://www.edx.org/course/embedded-systems-shape-the-world-microcontroller-i;;;;;
introduction to animal behaviour;42135.0;wageningen university & research;introductory;biology & life sciences;en;6 weeks;49.0;usd;https://www.edx.org/course/introduction-to-animal-behaviour;;;;;
circular economy: an introduction;50240.0;delft university of technology;introductory;business & management;en;7 weeks;50.0;usd;https://www.edx.org/course/circular-economy-an-introduction;;;;;
public financial management;23288.0;the international monetary fund;intermediate;economics & finance;en;8 weeks;25.0;usd;https://www.edx.org/course/public-financial-management;;;;;
anatomy: human neuroanatomy;49319.0;the university of michigan;introductory;biology & life sciences;en;8 weeks;49.0;usd;https://www.edx.org/course/anatomy-human-neuroanatomy;;;;;
android: introducciï¿½ï¿½n a la programac;85786.0;universitat politï¿½ï¿½cnica de vale;introductory;computer science;es;10 weeks;50.0;usd;https://www.edx.org/course/android-introduccion-a-la-programacion;;;;;
the ancient greek hero;51744.0;harvard university;introductory;humanities;en;18 weeks;99.0;usd;https://www.edx.org/course/the-ancient-greek-hero-2;;;;;
agile leadership principles and practices;31838.0;the university of maryland, college park-university system of maryland;advanced;engineering;en;4 weeks;199.0;usd;https://www.edx.org/course/agile-leadership-principles-2;;;;;
how to code: simple data;98113.0;university of british columbia;introductory;computer science;en;7 weeks;125.0;usd;https://www.edx.org/course/how-to-code-simple-data;;;;;
cybersecurity and privacy in the iot;21440.0;curtin university;introductory;computer science;en;5 weeks;199.0;usd;https://www.edx.org/course/cybersecurity-and-privacy-in-the-iot;;;;;
strategic management;71085.0;indian institute of management bangalore;introductory;business & management;en;5 weeks;150.0;usd;https://www.edx.org/course/strategic-management;;;;;
introducciï¿½ï¿½n a la ciencia de datos y sus aplicaci;7303.0;ibm;introductory;data analysis & statistics;es;6 weeks;39.0;usd;https://www.edx.org/course/introduccion-a-la-ciencia-de-datos-y-sus-aplicaciones;;;;;
biochemistry: biomolecules; methods; and mechanisms;18692.0;massachusetts institute of technology;intermediate;biology & life sciences;en;12 weeks;150.0;usd;https://www.edx.org/course/biochemistry-biomolecules-methods-and-mechanisms;;;
astronomï¿½ï¿½a vir;10500.0;universidad nacional de cï¿½ï¿½r;introductory;science;es;7 weeks;29.0;usd;https://www.edx.org/course/astronomia-virtual;;;;;
nutrition and cancer;27144.0;wageningen university & research;intermediate;food & nutrition;en;5 weeks;99.0;usd;https://www.edx.org/course/nutrition-and-cancer;;;;;
build your very first ios app;31570.0;curtin university;introductory;computer science;en;8 weeks;149.0;usd;https://www.edx.org/course/build-your-very-first-ios-app;;;;;
object-oriented programming;93633.0;iitbombay;introductory;computer science;en;4 weeks;149.0;usd;https://www.edx.org/course/object-oriented-programming;;;;;
introduction to jenkins;7233.0;the linux foundation;introductory;computer science;en;10 weeks;199.0;usd;https://www.edx.org/course/introduction-to-jenkins;;;;;
conducting an informational interview;15594.0;university of washington;introductory;language;en;8 weeks;99.0;usd;https://www.edx.org/course/conducting-an-informational-interview;;;;;
liderazgo y comportamiento organizacional;21419.0;tecnolï¿½ï¿½gico de monte;introductory;business & management;es;4 weeks;149.0;usd;https://www.edx.org/course/liderazgo-y-comportamiento-organizacional;;;;;
creative coding;18660.0;new york university;introductory;design;en;14 weeks;249.0;usd;https://www.edx.org/course/creative-coding;;;;;
anï¿½ï¿½lisis estadï¿½ï¿½stico c;22717.0;universidad galileo;introductory;data analysis & statistics;es;4 weeks;49.0;usd;https://www.edx.org/course/analisis-estadistico-con-excel;;;;;
introducciï¿½ï¿½n a la ingenierï¿½ï¿½a del ;17931.0;universidad autï¿½ï¿½noma de ma;introductory;computer science;es;5 weeks;49.0;usd;https://www.edx.org/course/introduccion-a-la-ingenieria-del-software;;;;;
computer graphics;98553.0;the university of california, san diego;intermediate;computer science;en;6 weeks;99.0;usd;https://www.edx.org/course/computer-graphics-2;;;;;
data science: computational thinking with python;78232.0;university of california, berkeley;introductory;computer science;en;5 weeks;199.0;usd;https://www.edx.org/course/foundations-of-data-science-computational-thinking;;;;;
comunicaciï¿½ï¿½n efectiva para el lï¿½ï¿½de;18470.0;tecnolï¿½ï¿½gico de monte;introductory;communication;es;4 weeks;149.0;usd;https://www.edx.org/course/comunicacion-efectiva-para-el-lider-actual;;;;;
debate y argumentaciï¿½;10954.0;universidad del rosario;introductory;humanities;es;4 weeks;49.0;usd;https://www.edx.org/course/debate-y-argumentacion;;;;;
deep learning with tensorflow;37564.0;ibm;intermediate;data analysis & statistics;en;5 weeks;99.0;usd;https://www.edx.org/course/deep-learning-with-tensorflow;;;;;
machine learning (aprendizaje automï¿½ï¿½tico) con python: una introducciï¿½ï¿½n p;39155.0;ibm;introductory;computer science;es;5 weeks;49.0;usd;https://www.edx.org/course/machine-learning-aprendizaje-automatico-con-python;;;;;
essential human biology: cells and tissues;67961.0;university of adelaide;introductory;medicine;en;5 weeks;169.0;usd;https://www.edx.org/course/essential-human-biology-cells-and-tissues;;;;;
writing; presenting and submitting scientific papers in english | ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½;35720.0;tsinghua university;intermediate;communication;en;5 weeks;49.0;usd;https://www.edx.org/course/writing-presenting-and-submitting-scientific-paper;;;;
computing in python iii: data structures;27239.0;the georgia institute of technology;introductory;computer science;en;5 weeks;99.0;usd;https://www.edx.org/course/computing-in-python-iii-data-structures;;;;;
introduction to internet of things (iot);6703.0;rolls-royce;introductory;data analysis & statistics;en;2 weeks;49.0;usd;https://www.edx.org/course/introduction-to-the-internet-of-things-3;;;;;
nutrition and health: food risks;51493.0;wageningen university & research;introductory;biology & life sciences;en;8 weeks;49.0;usd;https://www.edx.org/course/nutrition-and-health-food-risks;;;;;
mechanics: kinematics and dynamics;35529.0;massachusetts institute of technology;intermediate;physics;en;12 weeks;49.0;usd;https://www.edx.org/course/mechanics-kinematics-and-dynamics;;;;;
storytelling for social change;30313.0;the university of michigan;introductory;communication;en;5 weeks;49.0;usd;https://www.edx.org/course/storytelling-for-social-change;;;;;
introduction to data analytics for managers;39113.0;the university of michigan;introductory;business & management;en;6 weeks;49.0;usd;https://www.edx.org/course/introduction-to-data-analytics-for-managers;;;;;
qualitative research methods: conversational interviewing;21972.0;massachusetts institute of technology;intermediate;humanities;en;3 weeks;49.0;usd;https://www.edx.org/course/qualitative-research-methods-conversational-interv;;;;;
international project management;45145.0;rochester institute of technology;advanced;business & management;en;9 weeks;150.0;usd;https://www.edx.org/course/international-project-management;;;;;
software development fundamentals;51402.0;university of pennsylvania;intermediate;computer science;en;4 weeks;149.0;usd;https://www.edx.org/course/software-development-fundamentals;;;;;
first nights - stravinskyï¿½ï¿½ï¿½s rite of spring: mod; ballet; and riots;17484.0;harvard university;introductory;humanities;en;3 weeks;49.0;usd;https://www.edx.org/course/stravinskys-rite-of-spring-modernism-ballet-and-ri;;;
critical thinking & problem solving;6558.0;rochester institute of technology;introductory;communication;en;3 weeks;199.0;usd;https://www.edx.org/course/critical-thinking-problem-solving-3;;;;;
data analysis essentials;42262.0;imperial college business school-imperial college london;introductory;business & management;en;6 weeks;79.0;usd;https://www.edx.org/course/data-analysis-essentials;;;;;
master control in supply chain management and logistics;31326.0;chalmers university of technology;introductory;business & management;en;7 weeks;49.0;usd;https://www.edx.org/course/master-control-in-supply-chain-management-and-logi;;;;;
work and employment for a sustainable future;6528.0;sdg academy;intermediate;economics & finance;en;6 weeks;49.0;usd;https://www.edx.org/course/work-and-employment-for-a-sustainable-future;;;;;
foundations of data structures;54075.0;iitbombay;intermediate;computer science;en;6 weeks;149.0;usd;https://www.edx.org/course/foundations-of-data-structures;;;;;
financial programming and policies; part 1: macroeconomic accounts & analysis;31024.0;the international monetary fund;intermediate;economics & finance;en;6 weeks;25.0;usd;https://www.edx.org/course/financial-programming-and-policies-part-1-macroeco;;;;
iot system design: software and hardware integration;13608.0;waseda university;intermediate;computer science;en;4 weeks;99.0;usd;https://www.edx.org/course/iot-system-design-software-and-hardware-integratio;;;;;
english for doing business in asia ï¿½ï¿½ï¿½ w;44252.0;the hong kong university of science and technology;introductory;humanities;en;7 weeks;60.0;usd;https://www.edx.org/course/english-for-doing-business-in-asia-writing;;;;;
working in teams: a practical guide;43981.0;the university of queensland;introductory;humanities;en;4 weeks;49.0;usd;https://www.edx.org/course/working-in-teams-a-practical-guide;;;;;
introducciï¿½ï¿½n a los encofrados y las cimbras en obra civil y edificac;16029.0;universitat politï¿½ï¿½cnica de vale;introductory;engineering;es;4 weeks;50.0;usd;https://www.edx.org/course/introduccion-a-los-encofrados-y-las-cimbras-en-obr;;;;;
ai chatbots without programming;35440.0;ibm;introductory;computer science;en;2 weeks;99.0;usd;https://www.edx.org/course/ai-chatbots-without-programming;;;;;
introducciï¿½ï¿½n a la ciencia de datos y el big ;16268.0;tecnolï¿½ï¿½gico de monte;intermediate;data analysis & statistics;es;4 weeks;49.0;usd;https://www.edx.org/course/introduccion-a-la-ciencia-de-datos-y-el-big-data;;;;;
just money: banking as if society mattered;25553.0;massachusetts institute of technology;introductory;business & management;en;16 weeks;49.0;usd;https://www.edx.org/course/just-money-banking-as-if-society-mattered;;;;;
introducciï¿½ï¿½n;6431.0;universidades anï¿½ï¿½;introductory;data analysis & statistics;es;4 weeks;49.0;usd;https://www.edx.org/course/introduccion-a-r;;;;;
computing in python iv: objects & algorithms;28112.0;the georgia institute of technology;introductory;computer science;en;5 weeks;99.0;usd;https://www.edx.org/course/computing-in-python-iv-objects-algorithms;;;;;
adobe illustrator: aprende a crear presentaciones de impacto;18613.0;pontificia universidad javeriana;introductory;design;es;5 weeks;15.0;usd;https://www.edx.org/course/adobe-illustrator-aprende-a-crear-presentaciones-d;;;;;
teaching critical thinking through art with the national gallery of art;18595.0;the smithsonian institution;introductory;education & teacher training;en;16 weeks;25.0;usd;https://www.edx.org/course/teaching-critical-thinking-through-art-with-the-na;;;;;
word intermedio: herramientas de formato y productividad;10265.0;universitat politï¿½ï¿½cnica de vale;intermediate;computer science;es;6 weeks;50.0;usd;https://www.edx.org/course/word-intermedio-herramientas-de-formato-y-producti;;;;;
introducciï¿½ï¿½n a las finanzas: principios de valorac;17344.0;universidad del rosario;intermediate;economics & finance;es;4 weeks;49.0;usd;https://www.edx.org/course/introduccion-a-las-finanzas-principios-de-valoraci;;;;;
aprende a diseï¿½ï¿½ar jardines verticales y cuadros v;6341.0;universidad nacional de cï¿½ï¿½r;introductory;biology & life sciences;es;4 weeks;29.0;usd;https://www.edx.org/course/aprende-a-disenar-jardines-verticales-y-cuadros-vivos;;;;;
anatomy: cardiovascular; urinary; and respiratory systems;36917.0;the university of michigan;introductory;biology & life sciences;en;4 weeks;49.0;usd;https://www.edx.org/course/anatomy-cardiovascular-urinary-and-respiratory-sys;;;
software engineering: introduction;35524.0;university of british columbia;advanced;computer science;en;6 weeks;125.0;usd;https://www.edx.org/course/software-engineering-introduction;;;;;
structure of materials;13042.0;massachusetts institute of technology;intermediate;engineering;en;16 weeks;150.0;usd;https://www.edx.org/course/structure-of-materials;;;;;
fundamentos de fotografï¿½ï¿½a docume;13036.0;universidad del rosario;introductory;art & culture;es;6 weeks;49.0;usd;https://www.edx.org/course/fundamentos-de-fotografia-documental;;;;;
apï¿½ï¿½ italian language and culture (2020-2;39398.0;wellesley college;advanced;humanities;it;12 weeks;49.0;usd;https://www.edx.org/course/ap-italian-language-and-culture-2020-2021;;;;;
computer hardware and operating systems;9715.0;new york university;introductory;computer science;en;6 weeks;150.0;usd;https://www.edx.org/course/computer-hardware-and-operating-systems;;;;;
marketing management;43415.0;the university of maryland, college park-university system of maryland;advanced;business & management;en;7 weeks;214.0;usd;https://www.edx.org/course/marketing-management-2;;;;;
you can innovate: user  innovation & entrepreneurship;18974.0;massachusetts institute of technology;introductory;business & management;en;10 weeks;49.0;usd;https://www.edx.org/course/you-can-innovate-user-innovation-entrepreneurship;;;;;
analytics in python;82210.0;columbia university;intermediate;business & management;en;12 weeks;249.0;usd;https://www.edx.org/course/analytics-in-python;;;;;
bases matemï¿½ï¿½ticas: ï¿½ï;35811.0;universitat politï¿½ï¿½cnica de vale;introductory;math;es;4 weeks;50.0;usd;https://www.edx.org/course/bases-matematicas-algebra;;;;;
html5 apps and games;86850.0;the world wide web consortium (w3c);advanced;computer science;en;4 weeks;199.0;usd;https://www.edx.org/course/html5-apps-and-games;;;;;
matlab and octave for beginners;68706.0;ýýcole polytechnique fýýdýýrale de lausanne;introductory;computer science;en;4 weeks;139.0;usd;https://www.edx.org/course/matlab-and-octave-for-beginners;;;;;
ap physics 1;43401.0;rice university;introductory;physics;en;18 weeks;49.0;usd;https://www.edx.org/course/ap-physics-1;;;;;
the divine comedy: dante's journey to freedom;12005.0;georgetown university;introductory;humanities;en;8 weeks;49.0;usd;https://www.edx.org/course/the-divine-comedy-dantes-journey-to-freedom;;;;;
linux basics: the command line interface;32726.0;dartmouth_imtx-dartmouth college-imt;introductory;computer science;en;7 weeks;49.0;usd;https://www.edx.org/course/linux-basics-the-command-line-interface;;;;;
entrepreneurial operations: launching a startup;23808.0;babson college;intermediate;business & management;en;4 weeks;149.0;usd;https://www.edx.org/course/entrepreneurial-operations-launching-a-startup;;;;;
maths essentials;44642.0;imperial college business school-imperial college london;introductory;business & management;en;6 weeks;79.0;usd;https://www.edx.org/course/maths-essentials;;;;;
marketing analytics: products; distribution and sales;50588.0;university of california, berkeley;intermediate;computer science;en;4 weeks;249.0;usd;https://www.edx.org/course/marketing-analytics-products-distribution-and-sale;;;;
marketing innovative products and services;6293.0;the university of maryland, college park-university system of maryland;introductory;business & management;en;4 weeks;149.0;usd;https://www.edx.org/course/marketing-innovative-products-and-services;;;;;
just reading and writing in english | ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½;33303.0;tsinghua university;introductory;art & culture;en;15 weeks;149.0;usd;https://www.edx.org/course/just-reading-and-writing-in-english;;;;;
introduction to java programming ï¿½ï¿½ï¿½ ;270376.0;the hong kong university of science and technology;introductory;computer science;en;5 weeks;99.0;usd;https://www.edx.org/course/introduction-to-java-programming-part-1;;;;;
comunicaciï¿½ï¿½n y redacciï¿½ï¿½n;7165.0;universidades anï¿½ï¿½;introductory;communication;es;4 weeks;29.0;usd;https://www.edx.org/course/comunicacion-y-redaccion-digital;;;;;
monetary policy analysis and forecasting;6616.0;the international monetary fund;advanced;economics & finance;en;6 weeks;25.0;usd;https://www.edx.org/course/monetary-policy-analysis-and-forecasting;;;;;
basic analytical chemistry;19010.0;the university of tokyo;introductory;chemistry;en;6 weeks;49.0;usd;https://www.edx.org/course/basic-analytical-chemistry;;;;;
identifying entrepreneurial opportunities;11922.0;the university of maryland, college park-university system of maryland;introductory;business & management;en;4 weeks;149.0;usd;https://www.edx.org/course/identifying-entrepreneurial-opportunities;;;;;
chinax book club: five authors; five books; five views of china;5855.0;harvard university;introductory;literature;en;5 weeks;139.0;usd;https://www.edx.org/course/chinax-book-club-five-authors-five-books-five-views-of-china;;;
astrophysics: cosmology;83322.0;australian national university;intermediate;physics;en;10 weeks;50.0;usd;https://www.edx.org/course/astrophysics-cosmology;;;;;
japanese culture and language (i) |ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï;18489.0;tsinghua university;introductory;art & culture;zh-tw;10 weeks;139.0;usd;https://www.edx.org/course/japanese-culture-and-language-i-1;;;;;
covid-19 training for healthcare workers;5742.0;stanford university;introductory;medicine;en;2 weeks;10.0;usd;https://www.edx.org/course/covid-19-care-a-lifesaving-program-for-healthcare-providers;;;;;
the rise of superheroes and their impact on pop culture;31368.0;the smithsonian institution;introductory;humanities;en;6 weeks;50.0;usd;https://www.edx.org/course/the-rise-of-superheroes-and-their-impact-on-pop-cu;;;;;
introduction to aeronautical engineering;99971.0;delft university of technology;introductory;engineering;en;7 weeks;50.0;usd;https://www.edx.org/course/introduction-to-aeronautical-engineering-2;;;;;
diseï¿½ï¿½o de jard;5683.0;universidad nacional de cï¿½ï¿½r;introductory;biology & life sciences;es;4 weeks;29.0;usd;https://www.edx.org/course/diseno-de-jardines;;;;;
introducciï¿½ï¿½n al griego clï¿½ï¿½sico; nombres y mitologï¿½;18849.0;universidad autï¿½ï¿½noma de ma;introductory;language;es;5 weeks;49.0;usd;https://www.edx.org/course/aprende-griego-clasico-1;;;;
