course_title,url,price,num_subscribers,level,content_duration,subject,language
Valuation of Goodwill for CA / CFA / CMA Exams,https://www.udemy.com/valuation-of-goodwill/,20,1509,For all,0.7166666666666667,Business Finance,en
Forex - Catch the Big Market Moves in Forex,https://www.udemy.com/how-to-catch-the-big-market-moves-in-forex/,20,212,Intermediate,1.5,Business Finance,en
SEASON 2 MQL4 Tutorial Bootcamp - Metatrader4 Trading Robots,https://www.udemy.com/mql4-tutorial-bootcamp-metatrader4-trading-robots-expert-advisors-mt4/,25,462,For all,1.0,Business Finance,en
Intermediate Accounting 1: Easy. Fast. Simple!,https://www.udemy.com/intermediateaccounting/,200,90,Intermediate,2.5,Business Finance,en
Global Macro Investing - Take Control Of The World's Markets,https://www.udemy.com/global-macro-trading-take-control-of-the-worlds-markets/,30,153,Intermediate,2.0,Business Finance,en
How to Read a Balance Sheet,https://www.udemy.com/how-to-read-balance-sheet/,50,1055,Introductory,3.5,Business Finance,en
Credit Repair from a Financial Institution,https://www.udemy.com/credit-repair-from-a-financial-institution/,20,157,For all,2.5,Business Finance,en
The Binary Institute -  Binary Options Trading Course,https://www.udemy.com/the-binary-institute-binary-options-trading-course/,200,103,For all,2.5,Business Finance,en
Mental Models For Wall Street - Become A Better Trader,https://www.udemy.com/mental-models-for-wall-street/,0,1067,For all,2.0,Business Finance,en
株式投資に向く性格に変えるための心理学を学ぶ,https://www.udemy.com/jun-sakai-trading-course2/,20,58,For all,1.5,Business Finance,ja
Matemática Financeira com HP12C e MS Excel,https://www.udemy.com/matematica-financeira-com-hp12-e-ms-excel/,20,74,Introductory,4.5,Business Finance,pt
¡Triunfar en La Bolsa de Valores No Requiere de Experiencia!,https://www.udemy.com/triunfar-en-la-bolsa-de-valores-no-requiere-de-experiencia/,0,338,Introductory,1.0,Business Finance,es
Cómo Crear Políticas Contables bajo NIIF para PYMES,https://www.udemy.com/como-crear-politicas-contables-bajo-niif-para-pymes/,20,27,For all,1.0,Business Finance,es
Finanzas Personales para Vivir Libre de Deudas,https://www.udemy.com/finanzas-personales-para-vivir-libre-de-deudas/,75,76,Introductory,6.0,Business Finance,es
Finanzas personales: Logrando la Libertad Financiera,https://www.udemy.com/finanzas-personales-logrando-la-libertad-financiera/,30,27,Introductory,2.0,Business Finance,es
株式投資で本当のテクニカル分析ができるようになる,https://www.udemy.com/jun-sakai-trading-course4/,20,68,Intermediate,2.5,Business Finance,ja
Aktiver Vermögensaufbau mit ETF,https://www.udemy.com/aktiver-vermoegensaufbau/,20,112,Introductory,2.0,Business Finance,de
Socorro! Preciso Organizar as Minhas Finanças!,https://www.udemy.com/socorro-preciso-organizar-as-minhas-financas/,20,72,For all,1.5,Business Finance,pt
Curso Completo de Opciones Binarias: Estrategias 90% Acierto,https://www.udemy.com/opciones-binarias-gana-dinero-trading-de-opciones-binarias/,145,335,For all,1.5,Business Finance,es
Le basi del Trading,https://www.udemy.com/le-basi-del-trading/,200,22,For all,3.5,Business Finance,it
【個人事業主向け】青色申告の記帳を自力で行うための複式簿記の基本,https://www.udemy.com/aoirokojin/,30,41,Introductory,3.0,Business Finance,ja
Profit and Loss Account for bankers and credit analysts,https://www.udemy.com/profit-and-loss-account-for-bankers-and-credit-analysts/,20,1,Introductory,7.5,Business Finance,en
Business Accounts For Managers,https://www.udemy.com/business-accounts-for-managers/,30,16,Introductory,3.0,Business Finance,en
Black Scholes Option Pricing Model,https://www.udemy.com/black-scholes-option-pricing-model/,25,3,Introductory,1.0,Business Finance,en
Chief Wealth Officer,https://www.udemy.com/chief-wealth-officer/,45,4,Introductory,1.0,Business Finance,en
Practical Accounts Training A,https://www.udemy.com/mobile-practical-accounts-training-a/,35,2,Intermediate,31.5,Business Finance,en
International Trade and New Geographic Economy,https://www.udemy.com/international-trade-and-new-geographic-economy/,20,12,For all,0.5333333333333333,Business Finance,en
2. Principles of Simple Interest - advanced problems,https://www.udemy.com/principles-of-simple-interest-advanced-problems/,20,10,Intermediate,1.5,Business Finance,en
School of Raising Capital: Agile Financial Modeling,https://www.udemy.com/agilefinancialmodeling/,20,12,For all,1.5,Business Finance,en
How to Read Financial Statements,https://www.udemy.com/how-to-read-financial-statements/,20,5,Introductory,2.0,Business Finance,en
"Intro. to Asset-Backed Securities, CFA Level I,  2017 Prep",https://www.udemy.com/intro-to-asset-backed-securities-cfa-level-i-2017-prep/,20,1,For all,3.0,Business Finance,en
Reach Your Personal Financial Goals the Easy Way (2017 UK),https://www.udemy.com/reach-your-personal-financial-goals-the-easy-way-2017-uk/,95,2,For all,4.5,Business Finance,en
Bitesize Bookkeeping for busy people,https://www.udemy.com/bitesize-bookkeeping-for-busy-people/,20,9,Introductory,1.5,Business Finance,en
Do Your Own Accounts,https://www.udemy.com/doyourownaccounts/,35,42,For all,1.5,Business Finance,en
CFA Level 1 - Derivatives,https://www.udemy.com/cfa-exam/,30,110,For all,4.0,Business Finance,da
Accounting for everyone! ,https://www.udemy.com/accounting-for-everyone/,35,420,Introductory,1.0,Business Finance,en
Stock Fundamental Analysis with Excel,https://www.udemy.com/stock-fundamental-analysis-with-excel/,50,206,For all,10.0,Business Finance,en
Financial Accounting For Beginners,https://www.udemy.com/financial-accounting-for-beginners/,60,164,For all,1.5,Business Finance,en
Trading: How Transformative Learning Drives Expertise,https://www.udemy.com/trading-how-transformative-learning-drives-expertise/,30,69,For all,1.0,Business Finance,en
Manual Bookkeeping,https://www.udemy.com/manual-bookkeeping/,20,28,Intermediate,2.5,Business Finance,et
Numeracy skills in business and everyday life:Think and Deal,https://www.udemy.com/numeracy-skills-in-business-and-everyday-life-think-and-deal/,20,90,Introductory,0.6333333333333333,Business Finance,en
Financial Modelling in Excel Step by Step,https://www.udemy.com/financial-modelling-course-using-excel/,20,13,Intermediate,1.5,Business Finance,en
Straight From Business School: Create Financial Statements,https://www.udemy.com/straight-from-business-school-create-financial-statements/,20,31,Introductory,1.0,Business Finance,en
How To Pay Less Tax (UK version),https://www.udemy.com/paylesstax/,50,13,For all,0.5166666666666666,Business Finance,en
Interpreting financial statements,https://www.udemy.com/financial-statements-focused-on-cash-flows/,0,2119,For all,2.0,Business Finance,it
Forex trading with binary options,https://www.udemy.com/forex-trading-with-binary-options/,25,136,For all,3.0,Business Finance,en
Triple P Trading Course,https://www.udemy.com/triple-p-trading-course/,20,797,For all,3.0,Business Finance,en
Cost Accounting - A Comprehensive Study,https://www.udemy.com/cost-accounting-a-comprehensive-study/,180,503,For all,29.5,Business Finance,en
How to become a successful day trader,https://www.udemy.com/a-successful-day-trader/,95,1150,For all,2.5,Business Finance,en
Essentials of Finance and Investment in 2 hours,https://www.udemy.com/finance-hien-minh-luu/,20,1403,Introductory,2.0,Business Finance,en
Public Speaking: You Can Give Great Financial Presentations,https://www.udemy.com/how-to-give-financial-presentations/,20,916,For all,6.5,Business Finance,en
Professional Trading - Consistent Profits with Low Risk!,https://www.udemy.com/professional-trading-consistent-profits-with-low-risk/,20,627,For all,1.0,Business Finance,en
Trading for winning,https://www.udemy.com/charting-for-beginners-for-dummies-newbies-technical-analysis/,200,168,For all,2.0,Business Finance,en
Succeed in Stocks Even if you Don't Know Where to Start,https://www.udemy.com/succeed-in-stocks-even-if-you-dont-know-where-to-start/,0,2554,Introductory,1.0,Business Finance,en
Options Basics & Trading With Small Capital! - Level 1,https://www.udemy.com/options-basics-trading-with-small-capital/,30,120,Introductory,2.0,Business Finance,en
Forex trading Basic to advance Professional Level course,https://www.udemy.com/forex-trading-basic-to-advance-professional-level-course/,20,750,For all,2.5,Business Finance,en
Day Trading in Stocks: Strategies for Beginner Investors,https://www.udemy.com/day-trading-in-stocks-strategies-for-beginner-investors/,50,217,For all,2.0,Business Finance,en
Learn to Trade Forex Big U-Turn Trade,https://www.udemy.com/learn-to-trade-forex-big-u-turn-trade/,50,106,Introductory,1.0,Business Finance,en
"Technical Analysis Primer for trading Stocks, Bonds & Forex",https://www.udemy.com/technical-analysis-made-easy/,50,397,Introductory,3.0,Business Finance,en
DIY: Reduce Unpaid Federal Tax thru  IRS Offer in Compromise,https://www.udemy.com/diy-reduce-unpaid-federal-tax-thru-irs-offer-in-compromise/,20,44,For all,1.0,Business Finance,en
Stock Trading with this Strategy,https://www.udemy.com/stock-trading-with-this-strategy/,50,30,For all,1.0,Business Finance,en
The Psychology of Trading,https://www.udemy.com/the-psychology-of-trading/,20,95,For all,1.0,Business Finance,en
Professional Forex Strategy+2 weeks for FREE trading alerts,https://www.udemy.com/forex-candlesticks-strategy/,95,55,For all,1.0,Business Finance,en
Stock Trading Essentials for Day Traders,https://www.udemy.com/stock-trading-essentials-for-day-traders/,100,94,For all,1.0,Business Finance,en
Basics of Finance and Budgeting,https://www.udemy.com/basics-of-finance-and-budgeting/,20,578,Introductory,6.0,Business Finance,en
Portfolio Management CFA L1 2016,https://www.udemy.com/portfolio-management-cfa-l1/,20,393,For all,5.0,Business Finance,fr
"Trade Stocks, Forex & Financial Markets like a Professional",https://www.udemy.com/stock-and-forex-trading-strategy-course/,20,116,For all,3.0,Business Finance,en
The Tax Advantaged Investor: A Guide to Legal Tax Reduction!,https://www.udemy.com/university-of-puerto-rico-mba-student-act-20-act-22-course/,0,1888,For all,2.0,Business Finance,en
The Smart Option Trader,https://www.udemy.com/the-smart-option-trader/,45,412,For all,13.0,Business Finance,en
Beginners Chart Patterns Trading for Penny Stocks,https://www.udemy.com/beginners-chart-patterns-for-penny-stocks-part-2/,200,40,Introductory,1.5,Business Finance,en
Financial Statements: Learn Accounting. Unlock the Numbers.,https://www.udemy.com/learn-accounting-unlock-the-numbers/,40,222,Introductory,3.0,Business Finance,en
CFA® Level 1 2014 – Alternative Investments,https://www.udemy.com/cfa-level-1-2014-alternative-investments/,30,831,For all,2.0,Business Finance,en
Interest Rate Swaps,https://www.udemy.com/interest-rate-swaps/,50,485,For all,3.5,Business Finance,en
Financial Modelling for entrepreneurs,https://www.udemy.com/financial-modelling-for-entrepreneurs/,20,232,For all,1.0,Business Finance,ca
Economics - CFA Level 1 - 2014,https://www.udemy.com/economics-cfa-level-1-2014/,20,135,Introductory,4.0,Business Finance,ca
Bookkeeping Made Simple,https://www.udemy.com/bookkeeping-made-simple/,40,61,For all,2.5,Business Finance,af
What is Bitcoin,https://www.udemy.com/what-is-bitcoin/,20,61,For all,5.0,Business Finance,en
Accounting for CA CPT Exams Part I,https://www.udemy.com/inventory-valuation/,50,874,For all,13.5,Business Finance,en
Raising Capital for Your Business,https://www.udemy.com/raising-capital-for-your-business/,50,22,For all,2.5,Business Finance,en
"Silver, Gold, and Inflation",https://www.udemy.com/got-gold-get-gold-inflation/,0,5597,Introductory,1.0,Business Finance,en
Accounting Concepts For Technocrats,https://www.udemy.com/accounting-concepts-for-technocrats/,20,261,Introductory,2.5,Business Finance,en
Beginner Financial Analysis: Invest Like Warren Buffett,https://www.udemy.com/beginner-financial-analysis-invest-like-warren-buffett/,50,83,Introductory,0.6833333333333333,Business Finance,de
Advance Technical Analysis,https://www.udemy.com/advance-technical-analysis/,50,152,Advanced,3.5,Business Finance,en
The Everyday Investor: Building Wealth with Venture Capital,https://www.udemy.com/the-everyday-investor/,20,176,Intermediate,2.5,Business Finance,en
QuickBooks Online : Inventory Management For Non-Finance,https://www.udemy.com/quickbooks-online-inventory-management-for-non-finance/,35,8,For all,0.6666666666666666,Business Finance,en
Law Matters,https://www.udemy.com/law-matters/,20,327,Introductory,0.45,Business Finance,de
Learn to Trade for Profit: Finding Winning Stocks - Chinese,https://www.udemy.com/trade-for-profit-how-to-find-and-trade-stocks-successfully-chinese/,95,264,For all,3.0,Business Finance,en
Financial Accounting Part 2 - Passing The Class,https://www.udemy.com/financial-accounting-part-2-passing-the-class/,20,15,Introductory,4.5,Business Finance,en
Simple Options Trading System,https://www.udemy.com/safe-and-easy-options-trading/,35,104,Intermediate,1.5,Business Finance,en
Investments and Financial Markets,https://www.udemy.com/investments-and-financial-markets/,40,71,Introductory,1.5,Business Finance,en
Legal Accounting,https://www.udemy.com/solicitors-accounts/,110,26,For all,4.0,Business Finance,en
"Term Loan Appraisal for bankers, credit analysts",https://www.udemy.com/term-loan-appraisal-for-bankers-credit-analysts/,20,11,Introductory,6.5,Business Finance,en
Small Biz Doers' Guide to Small Biz Accounting + Bookkeeping,https://www.udemy.com/an-entrepreneurs-guide-to-small-biz-bookkeeping/,20,1294,Introductory,5.5,Business Finance,en
Trade Show Samurai,https://www.udemy.com/trade-show-displays/,95,32,For all,0.5166666666666666,Business Finance,pt
Forex Harmonic Trading- With Multiple Forex Chart Examples,https://www.udemy.com/forex-harmonic-trading-with-multiple-examples/,135,313,For all,2.5,Business Finance,en
The Cost of Capital: The Key To Attract Venture Capitalists,https://www.udemy.com/the-cost-of-capital-and-the-evaluation-of-ideas/,50,635,For all,0.6833333333333333,Business Finance,en
Accounting for School Students,https://www.udemy.com/cash-books-in-accountancy/,30,1311,For all,1.5,Business Finance,en
Learn To Trade The Forex Naked Price Action Acapulco Trade,https://www.udemy.com/forex-naked-price-action-acapulco-trade/,70,288,Intermediate,1.0,Business Finance,en
Certificate in MYOB AccountRight Premier 2017 Course,https://www.udemy.com/certificate-in-myob-accountright-premier-2016-valued-1250/,200,97,For all,3.0,Business Finance,en
Master The Psychology of Forex & Binary Options Trading,https://www.udemy.com/master-the-psychology-of-forex-binary-options-trading/,20,53,Intermediate,1.0,Business Finance,en
Learn to Pick the Right Stock Broker Account,https://www.udemy.com/learn-to-pick-the-right-stock-broker-account/,40,1102,Introductory,0.5666666666666667,Business Finance,en
Profit During Crashing Markets: A Step-by-Step Guide,https://www.udemy.com/profit-during-crashing-markets-a-step-by-step-guide/,195,57,For all,1.0,Business Finance,en
Introduction to Futures & Options,https://www.udemy.com/introduction-to-futures-options/,50,694,For all,4.5,Business Finance,en
Learn To Invest In 7 Steps,https://www.udemy.com/learn-to-invest/,50,137,Introductory,3.0,Business Finance,en
Sell like a Pro: Insider Secrets of Successful Selling!,https://www.udemy.com/sell-like-a-pro-inside-secrets-of-successful-selling-y/,115,12,For all,2.5,Business Finance,en
3 Little Pigs: A Multiple Timeframe Forex Trading Strategy,https://www.udemy.com/3-little-pigs-a-multiple-timeframe-forex-trading-strategy/,20,18,For all,1.5,Business Finance,en
6. Annuities Due and Deferred,https://www.udemy.com/annuities-due-and-deferred/,20,170,For all,1.5,Business Finance,en
CFA® Level 1 2014 – Quantitative Methods,https://www.udemy.com/cfa-level-1-2014-quantitative-methods/,50,119,For all,5.0,Business Finance,en
IFRIC 13-Customer Loyalty Programmes (Revenue),https://www.udemy.com/ifric-13-customer-loyalty-programmes-revenue/,0,2058,For all,0.6,Business Finance,en
FOREX Currency Trading For Beginners,https://www.udemy.com/forex-currency-trading-for-beginners/,25,35,Introductory,4.0,Business Finance,en
Basic Technical Analysis,https://www.udemy.com/basic-technical-analysis/,50,40,Introductory,2.5,Business Finance,en
Forex:Trade Management & Psychology,https://www.udemy.com/forexmoney-management-psychology/,150,13,Intermediate,2.0,Business Finance,en
"Working Capital assessment for bankers, credit analysts",https://www.udemy.com/working-capital-assessment-for-bankers-credit-analysts/,20,4,Introductory,7.0,Business Finance,en
"CFA Level I Workshop 6: Alternatives, PM and Economics ",https://www.udemy.com/cfa-workshop-6/,20,71,For all,1.0,Business Finance,en
CFA Level I Workshop 3: Financial Reporting & Analysis II,https://www.udemy.com/cfa-workshop-3/,20,71,For all,1.0,Business Finance,en
How to trade in the Forex market,https://www.udemy.com/forex-market/,200,6,Intermediate,2.5,Business Finance,en
Bookkeeping Practicals with Software,https://www.udemy.com/bookkeeping-practical-with-software/,35,1,Intermediate,31.5,Business Finance,en
8 Steps To Achieve Financial Freedom And Escape Debt,https://www.udemy.com/achieve-financial-freedom-and-escape-debt/,40,5,Introductory,5.5,Business Finance,en
Trading Basics in 30 minutes,https://www.udemy.com/trading-basics-in-30-minutes/,50,1,Introductory,0.5333333333333333,Business Finance,en
Technical Charting,https://www.udemy.com/technical-charting/,20,4,Intermediate,1.0,Business Finance,en
Profits Turbo,https://www.udemy.com/profits-turbo/,20,10,Intermediate,5.5,Business Finance,en
Nest Egg Investing,https://www.udemy.com/nest-egg-secrets/,45,6,Introductory,2.0,Business Finance,no
Economics for beginners - Various Concepts,https://www.udemy.com/economics-forms-of-market-and-perfect-competition/,25,2,Introductory,2.5,Business Finance,en
Investing in Stocks & Shares,https://www.udemy.com/making-money-from-stocks-shares/,20,2,Introductory,2.0,Business Finance,en
Learn Financial Modeling from Scratch - Part 2,https://www.udemy.com/learn-financial-modeling-part-2/,50,2,For all,3.5,Business Finance,en
Learn Financial Modeling from Scratch - Part 3,https://www.udemy.com/learn-financial-modeling-part-3/,50,2,For all,2.0,Business Finance,en
A Practical Guide to Wealth Creation,https://www.udemy.com/wealth-creation/,35,6,For all,1.0,Business Finance,en
"'Geometry Of Chance strategy of defeating the roulette.""",https://www.udemy.com/geometry-of-chance-strategy-of-defeating-the-roulette/,30,2,Intermediate,1.5,Business Finance,en
Trading Algorítmico en Forex: Crea tu primer Robot de Forex!,https://www.udemy.com/aprender-programar-mql4-forex/,170,206,For all,6.5,Business Finance,ca
MQL4 Bootcamp Tutorial- Trading Robot Coding in Metatrader4,https://www.udemy.com/mql4-bootcamp-tutorial-trading-robot-coding-in-metatrader4/,20,313,Introductory,1.0,Business Finance,en
Introducción a la contabilidad,https://www.udemy.com/contabilidad-en-una-hora/,20,193,Introductory,1.0,Business Finance,es
Einnahmen aus Udemy-Kursen als Dozent korrekt versteuern,https://www.udemy.com/einnahmen-aus-udemy-kursen-als-dozent-korrekt-versteuern/,30,66,Introductory,1.0,Business Finance,de
Contabilidad Gubernamental en México,https://www.udemy.com/contabilidad-gubernamental/,30,270,For all,3.5,Business Finance,es
株式投資に必要なスキルの学習手順を学ぶ,https://www.udemy.com/jun-sakai-trading-course1/,20,139,Introductory,2.0,Business Finance,ja
Formação de preços em serviços,https://www.udemy.com/formacao-de-precos-em-servicos/,35,77,Intermediate,2.0,Business Finance,pt
"Geld verdienen mit dem Ticken der Uhr, wie Warren Buffett!",https://www.udemy.com/optionen-kompass-ihr-navi-fur-konstanten-borsenerfolg/,195,225,For all,5.0,Business Finance,de
Торговля дельта-нейтральными стренглами,https://www.udemy.com/strangles/,150,23,For all,1.5,Business Finance,ru
Guía práctica para comprar acciones en la Bolsa de USA,https://www.udemy.com/guia-practica-para-comprar-acciones-en-la-bolsa-de-usa/,0,4876,Intermediate,4.5,Business Finance,es
Contabilidad Financiera: Conoce el Lenguaje de los Negocios.,https://www.udemy.com/curso-de-contabilidad-online-contabilidad-financiera/,20,244,Introductory,2.5,Business Finance,es
Curso de Day Trader para Iniciantes,https://www.udemy.com/aprenda-a-realizar-trades-na-bolsa-dos-eua/,0,1278,Introductory,1.5,Business Finance,es
Curso de Iniciación al Trading,https://www.udemy.com/curso-de-iniciacion-al-trading/,85,31,For all,10.5,Business Finance,es
Complete GST Course For Small and Medium Enterprises,https://www.udemy.com/complete-gst-course-for-small-and-medium-enterprises/,75,8,Introductory,6.0,Business Finance,en
3 documentos clave para administrar tu empresa con éxito,https://www.udemy.com/3-documentos-clave-para-administrar-tu-empresa-con-exito/,45,40,Intermediate,1.0,Business Finance,pt
Forex/Opciones Binarias para Principiantes,https://www.udemy.com/forexopciones-binarias-para-principiantes/,25,9,Introductory,2.0,Business Finance,es
15 Mandamientos para ganar dinero en Bolsa,https://www.udemy.com/15-mandamientos-para-ganar-dinero-en-bolsa/,20,45,For all,8.5,Business Finance,es
Le bitcoin et la blockchain,https://www.udemy.com/le-bitcoin-et-la-blockchain/,80,13,For all,0.7333333333333333,Business Finance,fr
Contabilità Generale,https://www.udemy.com/contabilita-generale/,200,4,For all,8.5,Business Finance,it
Торговля опционами: Как заработать на волатильности,https://www.udemy.com/optiontrading/,150,20,For all,2.0,Business Finance,ru
Estrategias de Inversión aplicadas al mundo del trading,https://www.udemy.com/estrategias-de-inversion/,20,9,For all,3.0,Business Finance,es
バイナリーオプション取引,https://www.udemy.com/binaryoptiontrainingprogram/,85,29,For all,0.65,Business Finance,ja
Caza los Enormes Movimientos del Mercado,https://www.udemy.com/caza-los-enormes-movimientos-del-mercado/,20,6,For all,1.5,Business Finance,es
Le basi del trading online,https://www.udemy.com/le-basi-del-trading-online/,45,7,Introductory,3.5,Business Finance,af
自分に合った投資信託を見つけよう！,https://www.udemy.com/kabucom_toushin/,25,859,Introductory,2.0,Business Finance,ja
Monatlich Geld anlegen für später!,https://www.udemy.com/monatlich-geld-anlegen/,30,5983,Introductory,0.6166666666666667,Business Finance,de
Invierte en la Bolsa Mexicana y de USA,https://www.udemy.com/invierte-en-la-bmv/,200,1673,Introductory,5.5,Business Finance,es
Gestão Financeira Para Pequenas e Médias Empresas,https://www.udemy.com/gestao-financeira/,115,1284,For all,4.5,Business Finance,pt
Curso Completo de Bitcoin - Ganhe 0.00005 Bitcoin,https://www.udemy.com/curso-bitcoin/,30,394,For all,5.5,Business Finance,pt
Tudo sobre Investimentos em Renda Fixa,https://www.udemy.com/tudo-sobre-investimentos-em-renda-fixa/,45,689,For all,2.0,Business Finance,pt
Aprende a invertir sin capital,https://www.udemy.com/aprende-a-invertir-sin-capital/,130,649,Introductory,1.5,Business Finance,it
Apprendre à trader sur le marché du Forex - guide complet,https://www.udemy.com/apprendre-a-trader-sur-le-marche-du-forex-guide-complet/,140,187,Introductory,3.0,Business Finance,fr
Introducción a las Finanzas,https://www.udemy.com/introduccion-a-las-finanzas/,30,1798,Introductory,1.5,Business Finance,es
Finanzielle Unabhängigkeit-1: Erste Schritte zur Million,https://www.udemy.com/finanzielle-unabhaengigkeit-1-erste-schritte-zur-million/,20,465,Introductory,1.0,Business Finance,de
Forex para Principiantes-Ejemplos en VIVO de Trading Real,https://www.udemy.com/forex-espanol/,140,813,Introductory,5.0,Business Finance,es
Finanzielle Unabhängigkeit-3 Millionär werden mit Immobilien,https://www.udemy.com/finanzielle-unabhaengigkeit-3-millionaer-werden-mit-immobilien/,20,326,Advanced,1.0,Business Finance,de
Introduction to Health Financing,https://www.udemy.com/introduction-to-health-financing/,85,26,Introductory,2.0,Business Finance,en
Accounting Cycle: Learn the concepts in 60 minutes,https://www.udemy.com/accounting-cycle-in-60-minutes/,20,26,For all,1.0,Business Finance,en
Optimize! Make Best Decisions with Microsoft Excel,https://www.udemy.com/optimize/,20,28,Advanced,1.0,Business Finance,en
Understanding The Stock Market: For Beginners,https://www.udemy.com/understanding-the-stock-market-a-beginners-course/,25,122,Introductory,7.5,Business Finance,de
CFA® Level 1 2014 – FI,https://www.udemy.com/cfa-level-1-fixed-income/,40,149,For all,4.5,Business Finance,nl
9. Sinking Funds,https://www.udemy.com/sinking-funds/,20,205,For all,1.0,Business Finance,de
Managerial Accounting - The Ultimate Beginner Course!,https://www.udemy.com/managerial-accounting-the-ultimate-beginner-course/,100,11,Introductory,11.0,Business Finance,en
Forex Trading for Beginners Vol 1:A Forex Course Made Simple,https://www.udemy.com/forex-trading-for-beginners-vol-1a-forex-course-made-simple/,175,3,Introductory,1.0,Business Finance,en
Accounting - Basic Costing ,https://www.udemy.com/basic-costing/,40,108,Introductory,3.5,Business Finance,en
"Double Your Salary With Free, Local, Job Training Courses",https://www.udemy.com/how-to-search-the-internet-to-get-free-training-education/,20,8,For all,1.0,Business Finance,en
Financial Modeling - Facebook Case Study,https://www.udemy.com/financial-modeling-facebook-case-study_in_excel/,25,9,For all,1.5,Business Finance,en
Understanding Financial Derivatives,https://www.udemy.com/understanding-financial-derivatives/,20,16,Intermediate,2.0,Business Finance,en
Forex Basics: Learn how to read and analyze Forex charts,https://www.udemy.com/forex-basics-c/,195,11,Introductory,4.5,Business Finance,en
Forex - Help I cant Trade,https://www.udemy.com/forex-help-i-cant-trade/,200,12,For all,2.0,Business Finance,en
Start-up financial modeling for non-finance professionals,https://www.udemy.com/start-up-financial-modeling-for-non-finance-professionals/,20,11,For all,4.0,Business Finance,en
The Fast Route to a Faster Financial Close,https://www.udemy.com/faster-financial-close/,50,2,Intermediate,1.5,Business Finance,en
Easy Finance For Startups,https://www.udemy.com/easy-finance-for-startups/,50,9,Introductory,0.6666666666666666,Business Finance,en
"Excel 4 Accounting & Bookkeeping - Master Date,Time & Text",https://www.udemy.com/excel-4-accounting-bookkeeping-master-date-time-text/,35,15,For all,1.0,Business Finance,en
"Depreciation, Amortization and Depletion",https://www.udemy.com/depreciation-amor/,25,7,Intermediate,1.0,Business Finance,en
Breakeven Analysis and Pricing,https://www.udemy.com/breakeven-analysis-and-pricing/,20,27,For all,1.0,Business Finance,en
Tally ERP Complete Training in Urdu / Hindi,https://www.udemy.com/tally-erp-complete-training-in-urdu/,30,5,For all,5.0,Business Finance,en
Accounting Simplified,https://www.udemy.com/accounting-simplified/,30,3,For all,8.5,Business Finance,en
Series 7: Intermediate Options,https://www.udemy.com/series-7-intermediate-options/,55,5,Intermediate,1.0,Business Finance,en
Accounting and Business Basics,https://www.udemy.com/accounting-and-business-basics/,200,5,For all,2.0,Business Finance,en
Corso introduttivo al trading profittevole,https://www.udemy.com/corso-introduttivo-al-trading-profittevole/,20,132,Introductory,1.0,Business Finance,it
Aprende a Ganar Dinero en la Bolsa,https://www.udemy.com/aprende-a-ganar-dinero-en-la-bolsa/,30,112,For all,4.0,Business Finance,es
Inversión: Fundamentos del Trading para Principiantes,https://www.udemy.com/dinero-aprende-trading-y-se-exitoso/,125,285,Introductory,1.5,Business Finance,es
Gana en la Bolsa con Análisis Técnico,https://www.udemy.com/curso-basico-de-interpretacion-de-la-bolsa-mediante-graficos/,25,91,Introductory,8.5,Business Finance,es
Precificação - Calculando valor de venda baseado nos custos,https://www.udemy.com/formacao-de-precos-em-projetos/,35,32,For all,3.0,Business Finance,pt
Cómo ganar dinero invirtiendo en bolsa,https://www.udemy.com/como-ganar-dinero-invirtiendo-en-bolsa/,0,2740,Introductory,2.0,Business Finance,es
Investiere in Tax Liens-Hohe Zinsen gesetzl. festgeschrieben,https://www.udemy.com/investiere-online-und-erhalte-zinsen-von-25-in-dollar/,20,59,For all,1.5,Business Finance,de
Investimento em Ações,https://www.udemy.com/investimento-em-acoes/,20,16,Introductory,4.5,Business Finance,pt
Excelを使ってビジネスシミュレーション：基礎編,https://www.udemy.com/excel-zw/,85,22,Introductory,5.0,Business Finance,ja
Estrategias de trading en bolsa,https://www.udemy.com/diferentes-opciones-de-trading-en-bolsa/,25,15,For all,2.0,Business Finance,es
Grundlagen der finanziellen Unabhängigkeit,https://www.udemy.com/grundlagen-der-finanziellen-unabhangigkeit/,0,1059,For all,1.5,Business Finance,de
"Wie Du, Dir auch mit kleinen Beträgen ein Vermögen aufbaust",https://www.udemy.com/wie-du-dir-auch-mit-kleinen-betragen-ein-vermogen-aufbaust/,70,187,For all,7.0,Business Finance,de
Corporate Ethics,https://www.udemy.com/corporate-ethics/,100,0,Introductory,3.5,Business Finance,en
CFA Level 2- Quantitative Methods,https://www.udemy.com/cfa-level-2-quantitative-methods/,40,0,For all,5.5,Business Finance,en
Core Financial Statement Concepts,https://www.udemy.com/financial-statement-concepts/,50,0,Intermediate,1.5,Business Finance,en
Understand Core Finance Principles in 60 Minutes,https://www.udemy.com/core-finance-principles-in-60-minutes/,75,0,Introductory,2.5,Business Finance,en
Learn Wave accounting to maintain books properly,https://www.udemy.com/learn-wave-accounting-to-maintain-books-properly/,0,1089,For all,3.0,Business Finance,en
Making Tax Digital - UK HMRC Legislation Explained,https://www.udemy.com/making-tax-digital/,0,743,For all,1.0,Business Finance,en
Surviving Introduction to Finance,https://www.udemy.com/surviving-introduction-to-finance/,0,1362,Introductory,3.0,Business Finance,en
Cost of Capital and Weighted Average Cost of Capital,https://www.udemy.com/weighted-average-cost-of-capital-wacc/,0,405,For all,1.0,Business Finance,en
