course_title,url,price,num_subscribers,level,content_duration,subject,language
Options Trading - How to Win with Weekly Options,https://www.udemy.com/work-from-home-setup-your-own-options-trading-business/,115,7489,Intermediate,1.0,Business Finance,en
Black Algo Trading: Build Your Trading Robot,https://www.udemy.com/build-your-trading-robot/,200,20195,For all,16.0,Business Finance,en
Accounting & Financial Statement Analysis: Complete Training,https://www.udemy.com/accounting-fsa-a-solid-foundation-for-a-career-in-finance/,150,10042,For all,3.0,Business Finance,en
Cryptocurrency Trading: Complete Guide To Trading Altcoins,https://www.udemy.com/cryptocurrency-trading/,95,367,For all,5.0,Business Finance,en
Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,https://www.udemy.com/backtesting/,200,10603,For all,5.5,Business Finance,en
Three Steps Trading - Live Trading - Real Account,https://www.udemy.com/three-steps-trading-live-trading-real-account/,190,1197,For all,5.0,Business Finance,en
Option Trading for Rookies:  Understand Options Completely,https://www.udemy.com/complete-course-introduction-to-option-trading/,150,2893,For all,2.0,Business Finance,en
How I Learned Stock Trading (and How You Can Too),https://www.udemy.com/best-stock-traders/,200,1580,Advanced,2.0,Business Finance,en
Learn to Trade for Profit: Find and Trade Winning Stocks,https://www.udemy.com/trading-stocks-successfully-introduction-to-stock-trading/,95,10605,For all,3.0,Business Finance,en
Trading Inside Bars - Master 1 Easy Pattern To Be Successful,https://www.udemy.com/trading-inside-bars-find-setups-today-make-money-tomorrow/,125,2996,Intermediate,2.0,Business Finance,en
Four Fundamentals of Financial Planning,https://www.udemy.com/four-fundamentals-of-financial-planning/,30,6219,For all,1.0,Business Finance,en
Options Trading - Calendar Spread Course for Every Trader,https://www.udemy.com/options-trading-calendar-spread-course-for-every-trader/,200,1113,For all,1.5,Business Finance,en
Dividend Investing: Build Your Portfolio for a Better Future,https://www.udemy.com/dividend-investing/,60,8314,Introductory,4.0,Business Finance,en
Learn Accounting. Understand Business.,https://www.udemy.com/learn-accounting-understand-business/,200,5572,Introductory,5.5,Business Finance,en
How to Consistently Win Trading Stocks in 30 Days or Less,https://www.udemy.com/winningstocktrades/,145,1433,Intermediate,1.0,Business Finance,en
A Beginner's Guide to Quantopian Futures API,https://www.udemy.com/quantopian-futures/,20,936,Intermediate,1.5,Business Finance,en
How to Buy Cheap Options - Options Trading Pricing Model,https://www.udemy.com/options-black-scholes-model/,200,658,For all,1.0,Business Finance,en
Excel Crash Course: Master Excel for Financial Analysis,https://www.udemy.com/excel-crash-course-master-excel-for-financial-analysis/,105,8121,For all,3.5,Business Finance,en
"Comprehensive Guide to Financial Markets, Investing &Trading",https://www.udemy.com/financial-markets-a-to-z-for-beginners/,60,4187,Introductory,9.0,Business Finance,en
Stock Trading Ninja: Complete System For Trading Success,https://www.udemy.com/stock-trading-ninja-learn-how-to-make-money-trading-stocks/,155,9445,For all,4.5,Business Finance,en
Hedge and Mutual Fund Careers: The Complete Guide,https://www.udemy.com/hedge-fund-mutual-fund-careers-the-complete-guide-how-to-pick-stocks/,200,3255,For all,8.5,Business Finance,en
Algorithmic Trading In Forex: Create Your First Forex Robot!,https://www.udemy.com/learn-mql4/,185,7941,For all,6.5,Business Finance,en
The Power Modeling Bootcamp: Advanced Excel in 10 Days,https://www.udemy.com/the-power-modeling-bootcamp-advanced-excel-in-10-days/,150,1680,For all,5.5,Business Finance,en
Options Trading Basics (3-Course Bundle),https://www.udemy.com/learn-options-trading-courses/,180,10100,Introductory,11.0,Business Finance,en
How to Win 97% of Your Options Trades,https://www.udemy.com/how-to-win-97-percent-of-your-trades/,125,5050,For all,1.5,Business Finance,en
How I Make Consistent Returns Trading Options,https://www.udemy.com/how-i-make-15-per-month-trading-options/,200,2310,For all,3.5,Business Finance,en
"Forex Strategies: Kelly Criterion, Larry Williams and more!",https://www.udemy.com/money-management/,185,5528,For all,3.0,Business Finance,en
"Elite Trend Trader: Learn To Trade Stocks, Options & Forex",https://www.udemy.com/elite-trend-trader-how-to-make-a-fortune-trading-the-trend/,125,6451,For all,5.0,Business Finance,en
Options Trading Introduction: Day Trade Stock Options,https://www.udemy.com/how-to-trade-stock-options-level-1-start-day-trading/,95,12394,Introductory,2.5,Business Finance,en
The Almost Perfect Options Trading Strategy System - Unique,https://www.udemy.com/the-almost-perfect-options-trading-strategy-system-unique/,200,1793,For all,1.0,Business Finance,en
Forex Trading -  Learn to Trade Forex Like the Banks,https://www.udemy.com/forex-trading-learn-the-same-strategies-used-by-banks/,20,3223,For all,1.0,Business Finance,en
Learn to Trade for Profit:Trading with Japanese Candlesticks,https://www.udemy.com/introduction-to-japanese-candlesticks/,60,16385,Introductory,3.0,Business Finance,en
The Most Powerful Options Spread Trading Front Ratio Spread,https://www.udemy.com/the-most-powerful-options-spread-trading-front-ratio-spread/,200,1487,For all,2.0,Business Finance,en
What Finance Job is for You? Explanation of 14 Finance Roles,https://www.udemy.com/what-finance-job-is-for-you-explanation-of-14-financial-analyst-roles/,200,2951,For all,4.0,Business Finance,en
The Blueprint for Successful Stock Trading,https://www.udemy.com/stock-market-millionaire-blueprint/,120,2697,For all,1.0,Business Finance,en
Trading for Beginners - Intermediate Level,https://www.udemy.com/trading-for-beginners-tier-2/,150,3979,Introductory,5.0,Business Finance,en
Start Trading Stocks Using Technical Analysis!,https://www.udemy.com/professional-stock-trader/,25,3190,For all,4.0,Business Finance,en
Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,https://www.udemy.com/hedge-fund-startup/,200,1406,Advanced,1.5,Business Finance,en
VPS for Forex Trading - Protect Your Forex Robots,https://www.udemy.com/forex-vps/,160,4252,For all,2.0,Business Finance,en
Introduction to Accounting: The Language of Business,https://www.udemy.com/learnaccountingforfree/,20,11958,Introductory,11.5,Business Finance,en
Basic Excel for Basic Bookkeeping and Accounting,https://www.udemy.com/basic-excel-for-basic-bookkeeping/,95,7743,Introductory,1.5,Business Finance,en
"Using 'The Greeks To Understand Options""",https://www.udemy.com/options-greeks/,50,2134,For all,1.0,Business Finance,en
Trading Options For Consistent Returns: Calendar Spreads,https://www.udemy.com/trading-options-for-consistent-returns-calendar-spreads/,200,1214,For all,1.5,Business Finance,en
How to Create Your Personal Budget,https://www.udemy.com/personal-budget/,20,3870,For all,1.0,Business Finance,en
The Complete Value Investing Course: A Proven Approach,https://www.udemy.com/value-investing-essential-guide-to-picking-stocks/,200,2146,For all,4.5,Business Finance,en
FOREX Trading with Price Action,https://www.udemy.com/forex-trading-system/,195,484,Introductory,1.0,Business Finance,en
Emini ES Futures - Advanced Non Directional Options Trading,https://www.udemy.com/emini-es-futures-advanced-non-directional-options-trading/,200,1057,For all,1.5,Business Finance,en
Forex Trading - Advanced Fundamental Analysis,https://www.udemy.com/forex-trading-advanced-fundamental-analysis/,20,1754,Intermediate,2.5,Business Finance,en
How To Invest With Tiny Capital In Stocks ?,https://www.udemy.com/howtoinvest5k/,20,1239,Introductory,0.7,Business Finance,en
Learn How To Successfully Trade Stocks: In 5 Simple Steps,https://www.udemy.com/learn-how-to-successfully-trade-stocks-in-5-simple-steps/,95,2493,For all,9.5,Business Finance,en
Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,https://www.udemy.com/metatrader4/,150,2602,Introductory,5.0,Business Finance,de
Intermediate Options trading concepts for Stocks and Options,https://www.udemy.com/intermediate-options-trading-concepts-for-stocks-and-options-traders/,40,2000,For all,1.0,Business Finance,en
Options Trading 101: The Basics,https://www.udemy.com/options-trading-101-the-basics/,0,1514,Introductory,0.55,Business Finance,en
Practical Accounts APP Overview,https://www.udemy.com/practical-accounts-app-overview/,20,1361,Intermediate,3.0,Business Finance,en
Bitcoin Profits for Beginners,https://www.udemy.com/bitcoin-profits-for-beginners/,100,61,Introductory,1.5,Business Finance,en
Trend Traders Club: How To Find And Trade Fast Moving Trends,https://www.udemy.com/how-to-find-and-trade-profitable-fast-moving-trends/,75,1513,For all,5.5,Business Finance,en
Financial Statements Basics,https://www.udemy.com/financial-statements-basics/,20,1374,Introductory,2.0,Business Finance,ca
High performance Stock Trading using key Options techniques,https://www.udemy.com/high-performance-stock-trading-using-options-trading-techniques/,40,2103,For all,1.5,Business Finance,en
Introduction to Financial Statement Analysis,https://www.udemy.com/introduction-to-financial-statement-analysis/,20,1480,Introductory,1.5,Business Finance,en
Basics of Economics (College Level),https://www.udemy.com/economics-for-accounting-and-finance-professionals/,25,2516,For all,1.5,Business Finance,en
Stock Market Investing for Beginners,https://www.udemy.com/the-beginners-guide-to-the-stock-market/,0,50855,Introductory,1.5,Business Finance,no
Accounting for Beginners : Learn Basics in under 1 Hour,https://www.udemy.com/accounting-for-beginners-how-to-do-accounting-super-easily/,50,1971,Introductory,1.5,Business Finance,en
Straddle Options Trading - Profit in Any Market Direction,https://www.udemy.com/straddle-options-trading-profit-in-any-market-direction/,200,837,For all,1.0,Business Finance,en
Fundamentals of Forex Trading,https://www.udemy.com/fundamentals-of-forex-trading/,0,17160,For all,1.0,Business Finance,en
"Binary Options: Trading Strategies, 90% Accuracy and Signals",https://www.udemy.com/learn-trading-binary-options-from-scratch-and-3-strategies/,195,1723,Introductory,1.0,Business Finance,en
Website Investing 101 - Buying & Selling Online Businesses,https://www.udemy.com/cash-flow-website-investing-buy-sell-online-businesses-digital-assets/,0,6811,For all,2.0,Business Finance,de
Practical Accounts & Bookkeeping Automated Overview ,https://www.udemy.com/practical-accounts-bookkeeping-automated-overview/,20,2060,For all,4.5,Business Finance,en
Live Account - ETF Trading System - Hacking The Stock Market,https://www.udemy.com/cracked-wall-street-hacked-the-stock-market-top-secret/,150,2318,For all,5.0,Business Finance,en
Stock Market Leverage: How to Start Trading Options Wisely,https://www.udemy.com/stock-market-tips-how-to-successfully-trade-options/,95,2153,Introductory,1.5,Business Finance,en
Stock Market Foundations,https://www.udemy.com/how-to-invest-in-the-stock-market-beginners/,0,19339,Introductory,2.0,Business Finance,sv
